car_model,price,year_model,kms,color,fueltype
Kia Rio 1.6 5 p,$25.900.000,2010,77.500,Gris,Gasolina
Kia Rio Sedán Stylus Ls 1493 Cc Aa,$23.000.000,2012,103.497,Negro,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$59.800.000,2019,91.000,Color not found,Gasolina
Kia Rio R Río R,$47.500.000,2016,44.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$54.900.000,2019,29.700,Color not found,Gasolina
Kia Rio 1.4 4 p,$36.900.000,2013,100.000,Azul,Gasolina
Kia Rio 1.2 5 p,$37.900.000,2014,73.000,Blanco,Gasolina
Kia Rio 1.4 Vibrant At,$60.900.000,2019,58.000,Azul,Gasolina
Kia Rio 1.4 Vibrant Hb,$70.000.000,2021,26.739,Gris,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$53.900.000,2020,33.300,Gris,Gasolina
Kia Rio 1.5 Stylus,$21.500.000,2015,156.000,Blanco,Gasolina
Kia Rio 1.4 4 p,$41.990.000,2014,114.000,Color not found,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$60.000.000,2020,82.949,Negro,Gasolina
Kia Rio 1.4 5 p,$40.900.000,2014,93.000,Blanco,Gasolina
Kia Rio 1.4 Vibrant At,$66.900.000,2022,28.000,Blanco,Gasolina
Kia Rio 1.4 4 p,$42.900.000,2016,100.000,Plateado,Gasolina
Kia Rio 1.5 Stylus,$27.500.000,2015,85.000,Blanco,Gasolina
Kia Rio UB EX 1.250,$41.000.000,2015,78.900,Gris,Gasolina
Kia Rio 1.4,$67.800.000,2023,23.000,Gris,Gasolina
Kia Rio 1.4 4 p 109 hp,$41.990.000,2012,98.771,Rojo,Gasolina
Taxi Kia Sephia 2012,$85.000.000,2012,549.000,Amarillo,Gasolina y gas
Kia Rio R 1.25,$45.900.000,2017,87.000,Blanco,Gasolina
Kia Rio Spice Spice,$34.800.000,2013,112.000,Color not found,Gasolina
Kia Rio Spice R 1.2,$44.800.000,2017,95.000,Negro,Gasolina
Kia Rio Spice 1.2,$37.900.000,2015,76.000,Blanco,Gasolina
Kia Rio 1.25 4 p,$37.000.000,2016,129.000,Violeta,Gasolina
Kia Rio 1.4 Vibrant Mt,$48.900.000,2020,81.000,Plateado,Gasolina
Kia Rio 1.25,$53.900.000,2017,43.500,Azul,Gasolina
Kia Rio Xcite 1.6 Automático Full Equipo Modelo 2012,$31.600.000,2012,98.000,Plateado,Gasolina
Kia Rio 1.4 5 p 95 hp,$30.900.000,2012,115.000,Color not found,Gasolina
Kia Rio Spice 2013,$34.700.000,2013,118.881,Azul,Gasolina
Kia Rio 1.4 Vibrant At,$58.000.000,2020,50.000,Gris,Gasolina
Kia Rio 1.4 4 p,$40.000.000,2013,85.137,Blanco,Gasolina
Kia Rio 1.4 5p AUTOMÁTICO,$36.900.000,2014,79.000,Blanco,Gasolina
Kia Rio 1.5 Stylus,$26.900.000,2015,75.000,Negro,Gasolina
Kia Rio STYLUS,$28.400.000,2015,100.000,Gris,Gasolina
Kia Rio Ub Ex Mt,$35.900.000,2013,80.350,Gris,Gasolina
Kia Rio 1.4,$71.000.000,2023,6.201,Azul,Gasolina
Kia Rio 1.4 Vibrant At,$59.000.000,2020,45.000,Color not found,Gasolina
Kia Rio 1.4,$55.000.000,2019,63.892,Gris,Gasolina
Kia Rio 1.2 5 p,$41.000.000,2014,71.967,Blanco,Gasolina
Kia Rio 1.4 vibrant mecanico,$57.000.000,2020,50.000,Plateado,Gasolina
Kia Rio 1.4 Vibrant At,$58.000.000,2021,32.000,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$64.900.000,2022,25.038,Plateado,Gasolina
Kia Rio 1.25,$43.990.000,2018,53.000,Rojo,Gasolina
Kia Rio 1.4 Vibrant At,$58.500.000,2018,67.000,Gris,Gasolina
Kia Río R Sedan,$51.000.000,2018,66.000,Gris,Gasolina
Kia Rio 1.5 Stylus,$21.000.000,2012,155.000,Gris,Gasolina
Kia Rio 1.4 Zenith Hb 4 p,$59.500.000,2020,50.000,Rojo,Gasolina
Kia Rio 1.25,$53.000.000,2018,44.770,Blanco,Gasolina
Kia Rio 1.5 Stylus,$27.900.000,2015,88.000,Gris,Gasolina
Kia Rio Spice R Spice R Mt,$39.000.000,2016,124.000,Color not found,Gasolina
Kia Rio Spice R Spice R,$43.900.000,2016,97.000,Color not found,Gasolina
Kia Rio Sedán New Rio,$49.900.000,2018,86.000,Color not found,Gasolina
Kia Rio 1.4 4 p,$25.900.000,2011,169.000,Rojo,Gasolina
Kia Rio 1.4 Vibrant At,$62.000.000,2022,26.900,Gris,Gasolina
Kia Rio 1.25,$39.000.000,2015,109.341,Blanco,Gasolina
Kia Rio 1.4 Vibrant Mt,$59.000.000,2020,56.000,Rojo,Gasolina
Kia Rio Ubex,$40.000.000,2014,107.200,Gris,Gasolina
Kia Rio Spice 2014 Mt,$36.500.000,2014,115.378,Gris,Gasolina
Kia Rio 1.4 5 p 109 hp,$37.900.000,2012,153.500,Negro,Gasolina
Kia Rio Sedan,$40.000.000,2015,112.788,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$61.500.000,2020,31.000,Gris,Gasolina
Kia Rio 1.6 Sport 5 p,$29.900.000,2011,79.000,Color not found,Gasolina
Kia Rio Ub Ex,$44.900.000,2015,89.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$27.500.000,2011,114.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant At,$61.000.000,2019,50.220,Gris,Gasolina
Kia Rio R Ub Ex,$44.900.000,2016,67.800,Gris,Gasolina
Kia Rio 1.4 Mecanico,$40.900.000,2015,122.000,Color not found,Gasolina
Kia Rio 1.4,$53.900.000,2018,39.000,Plateado,Gasolina
Kia Rio 1.4 Vibrant Mt,$46.500.000,2018,108.515,Plateado,Gasolina
Kia Rio 1.6 4 p,$25.900.000,2010,106.000,Color not found,Gasolina
Kia Rio VIBRANT,$66.000.000,2023,29.445,Blanco,Gasolina
Kia Rio 1.4 4 p Automática,$47.750.000,2017,85.200,Plateado,Gasolina
Kia Rio Spice 2014 1.4,$39.500.000,2014,96.000,Plateado,Gasolina
Kia,$39.890.000,2015,107.000,Plateado,Gasolina
Kia Rio Spice R Summa 1.2,$43.800.000,2017,113.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$39.500.000,2014,100.000,Plateado,Gasolina
Kia Rio 1.4 5 p,$45.990.000,2016,51.000,Color not found,Gasolina
